rvtr,artist,identitySource,canonicalTitle,normalizedTitleKey,graphTitle,graphTrackId,hasPrimaryVersion,repairSkipReason,skipGroup,skipGroupDetail,peakHot100
RVTR533588,madonna,vdj,4 Minutes Feat Justin Timberlake And Timbaland,4 minutes feat justin timberlake and timbaland,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR653684,nena,vdj,99 Lu Feat Ballons,99 lu feat ballons,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR082692,nena,vdj,99 Lu Feat Balloons English,99 lu feat balloons english,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR854354,nena,vdj,99 Lu Feat Balloons German Version,99 lu feat balloons german version,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR142559,Cher & Peter Cetra,vdj,A Feat Er All,a feat er all,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR743539,Sylver (Jonathan Peters Mix),vdj,A Feat Er All This Time,a feat er all this time,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR665343,journey,vdj,A Feat Er The Fall,a feat er the fall,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR438772,Der Kommissar,vdj,A Feat Er The Fire,a feat er the fire,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR577502,Al Hibbler,vdj,A Feat Er The Lights Go Down Low,a feat er the lights go down low,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR791649,"Earth, Wind & Fire",vdj,A Feat Er The Love Has Gone,a feat er the love has gone,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR964664,Princess,vdj,A Feat Er The Love Has Gone,a feat er the love has gone,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR674312,Earth Wind Fire,vdj,A Feat Er The Love Has Gone,a feat er the love has gone,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR213995,engelbert humperdinck,vdj,A Feat Er The Lovin,a feat er the lovin,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR235293,engelbert humperdinck,vdj,A Feat Er The Lovin',a feat er the lovin',,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR568510,nelson,vdj,A Feat Er The Rain,a feat er the rain,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR421156,Chuck Wagon Gang,vdj,A Feat Er The Sunrise,a feat er the sunrise,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR588464,Wilkinson,vdj,A Feat Erglow,a feat erglow,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR628729,Will Ferrell & The Channel 4 News Team,vdj,A Feat Ernoon Delight,a feat ernoon delight,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR089109,starland vocal band,vdj,A Feat Ernoon Delight,a feat ernoon delight,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR952258,Will Ferrell & The Channel 4 News Team,vdj,A Feat Ernoon Delight Anchorman,a feat ernoon delight anchorman,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR538799,Walter Murphy And The Big Apple Band,vdj,A Fi Feat H Of Beethoven,a fi feat h of beethoven,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR189190,walter murphy,vdj,A Fi Feat H Of Beethoven,a fi feat h of beethoven,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR628434,jack johnson,vdj,Adri Feat,adri feat,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR249691,"DJ Kahled featuring Snoop Dogg, T-Pain, Ludacris and Rick Ross",vdj,All I Do Is Win Feat T Pain Ludacris Snoop Dogg Rick Ross,all i do is win feat t pain ludacris snoop dogg rick ross,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR640715,halsey,vdj,Alone Feat Big Sean Stefflon Don,alone feat big sean stefflon don,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR322374,I'd Love to Change the World,vdj,Alvin Lee Ten Years A Feat Er,alvin lee ten years a feat er,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR078628,Conor Maynard,vdj,Animal Feat Wiley,animal feat wiley,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR035625,zac brown band,vdj,As She'S Walking Away Feat Alan Jackson,as she's walking away feat alan jackson,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR761051,rick ross,vdj,Aston Martin Music Feat Drake Chrisette Michele,aston martin music feat drake chrisette michele,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR903373,travis porter,vdj,Ayy Ladies Feat Tyga,ayy ladies feat tyga,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR165930,dababy,vdj,Baby Sitter Feat Offset,baby sitter feat offset,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR773517,louis tomlinson,vdj,Back To You Feat Bebe Rexha Digital Farm Animals,back to you feat bebe rexha digital farm animals,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR129030,enrique iglesias,vdj,Bailando Feat Decemer Bueno And Gente De Zona,bailando feat decemer bueno and gente de zona,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR691720,post malone,vdj,Ball For Me Feat Nicki Minaj,ball for me feat nicki minaj,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR180521,skrillex,vdj,Bangarang Feat Sirah,bangarang feat sirah,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR091195,maroon 5,vdj,Beautiful Mistakes Feat Megan Thee Stallion,beautiful mistakes feat megan thee stallion,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR416537,ed sheeran,vdj,Beautiful People Feat Khalid,beautiful people feat khalid,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR483814,justin bieber,vdj,Beauty And A Beat Feat Nicki Minaj,beauty and a beat feat nicki minaj,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR956390,meek mill,vdj,Believe Feat Justin Timberlake,believe feat justin timberlake,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR975113,lil' wayne,vdj,Believe Me Feat Drake,believe me feat drake,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR358846,Phish,vdj,Birds Of The Feat Her,birds of the feat her,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR779064,madonna,vdj,Bitch I M Madonna Feat Nicki Minaj,bitch i m madonna feat nicki minaj,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR458364,iggy azalea,vdj,Black Widow Feat Rita Ora,black widow feat rita ora,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR135868,Ke$ha,vdj,Blah Blah Blah Feat 3Oh 3,blah blah blah feat 3oh 3,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR364214,breaking benjamin,vdj,Blow Me Away Feat Valora,blow me away feat valora,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR408537,nelly,vdj,Body On Me Feat Akon,body on me feat akon,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR690039,The Cult,vdj,Bohemia A Feat Erdark,bohemia a feat erdark,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR338905,Junior Brown Highway Patrol ‌‌,vdj,Bohemia A Feat Erdark,bohemia a feat erdark,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR987750,blake shelton,vdj,Boys 'Round Here Feat Pistol Annies Friends,boys 'round here feat pistol annies friends,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR798592,tory lanez,vdj,Broke Leg Feat Quavo Tyga,broke leg feat quavo tyga,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR164730,josh groban,vdj,Broken Vow Feat Uring David Foster,broken vow feat uring david foster,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR772800,dwight yoakam,vdj,Bury Me Feat Maria Mckee,bury me feat maria mckee,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
RVTR541080,jordan davis,vdj,Buy Dirt Feat Luke Bryan,buy dirt feat luke bryan,,,false,no_graph_title,vdj_only_identity,VDJ identity with no primary graph track — local filename-derived title,
