bucket,artist,title,filePath,rvtr,matchedTitle,matchedArtist,score,artistScore,titleScore,tier,assigned,assignError
needs-review,Garth Brooks,Callin’ Baton Rouge,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Garth Brooks - Callin’ Baton Rouge.mp4,RVTR545903,Callin' Baton Rouge,garth brooks,71,100,50,C,no,
needs-review,Poison,Your Mama Don t Dance,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Poison - Your Mama Don t Dance.mp4,RVTR935890,Your Mama Don'T Dance,poison,77,100,60,C,no,
needs-review,Patti LaBelle,Forever Young,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Patti LaBelle - Forever Young.mp4,RVTR057685,Forever Young,rod stewart,55,0,100,B,no,
needs-review,The Beatles,Don t Let Me Down,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Beatles - Don t Let Me Down.mp4,RVTR084795,Don'T Let Me Down,The Chainsmokers,28,33,50,C,no,
needs-review,Tommy James & The Shondells,Draggin The Line,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Tommy James - Draggin The Line.mp4,RVTR524433,Draggin The Line,tommy james and the shondells,92,80,100,B,no,
needs-review,Chicago,Hard To Say I m Sorry,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Chicago - Hard To Say I m Sorry.mp4,RVTR968021,Hard To Say I'M Sorry,chicago,86,100,75,C,no,
needs-review,Prince & The Revolution,Kiss,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Prince & The Revolution - Kiss.mp4,RVTR319178,Kiss Kiss,chris brown,50,0,91,B,no,
needs-review,Black Eyed Peas,Let’s Get Retarded,/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Black Eyed Peas - Let’s Get Retarded.mp4,RVTR722281,Let'S Get Retarded,black eyed peas,71,100,50,C,no,
needs-review,Beastie Boys,So What Cha Want,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Beastie Boys - So What Cha Want.mp4,RVTR673189,So What'Cha Want,beastie boys,57,100,25,C,no,
needs-review,Bon Jovi,I ll Be There For You,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Bon Jovi - I ll Be There For You.mp4,RVTR737788,I'Ll Be There For You,bon jovi,86,100,75,C,no,
needs-review,Rihanna,Stay Ft. Mikky Ekko,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Rihanna feat. Mikky Ekko - Stay.mp4,RVTR751089,Stay Feat Mikky Ekko,rihanna,77,100,60,C,no,
needs-review,Linda Ronstadt,You re No Good,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Linda Ronstadt - You re No Good.mp4,RVTR736217,You'Re No Good,linda ronstadt,61,100,33,C,no,
needs-review,Harry Secombe,This Is My Song,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Harry Secombe - This Is My Song.mp4,RVTR697184,This Is My Song,petula clark,55,0,100,B,no,
needs-review,Elton John,Can I Get A Witness,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Elton John - Can I Get A Witness.mp4,RVTR778917,Can I Get A Witness,marvin gaye,55,0,100,B,no,
needs-review,Yungblud,I Was Made For Lovin’ You,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Yungblud - I Was Made For Lovin’ You.mp4,RVTR809212,I Was Made For Lovin' You,Yungblud,81,100,67,C,no,
needs-review,Ciara,I'm Out Ft. Nicki Minaj,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Ciara feat. Nicki Minaj - I'm Out.MP4,RVTR946514,I'M Out Feat Nicki Minaj,ciara,81,100,67,C,no,
needs-review,The Weeknd,Die For It ft. Nas,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/The Weeknd feat. Nas - Die For It.mp4,RVTR860216,Die For It Feat Nas,The Weeknd,77,100,60,C,no,
needs-review,The Outlaws,"Luckenbach, Texas","/Users/bobhopp/DJ MEDIA/VIDEO/1970's/The Outlaws - Luckenbach, Texas.mp4",RVTR113494,Luckenbach Texas Back To The Basics Of Love,waylon jennings,50,0,90,B,no,
needs-review,Paul McCartney & Wings,My Love,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Paul McCartney & Wings - My Love.mp4,RVTR770151,My Love,justin timberlake,55,0,100,B,no,
needs-review,The Boomtown Rats,Drag Me Down,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The Boomtown Rats - Drag Me Down.mp4,RVTR843278,Drag Me Down,one direction,55,0,100,B,no,
needs-review,Sade,Why Can't We Live Together,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Sade - Why Can't We Live Together.mp4,RVTR312723,Why Can'T We Live Together,timmy thomas,55,0,100,B,no,
needs-review,The Band,The Shape I'm In,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/The Band - The Shape I'm In.mp4,RVTR874051,The Shape I'M In,johnny restivo,55,0,100,B,no,
needs-review,Eric Burdon & War,Spill The Wine,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Eric Burdon & War - Spill The Wine.mp4,RVTR105947,Spill The Wine,war,94,86,100,B,no,
needs-review,KC & The Sunshine Band,Give It Up,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/KC & The Sunshine Band - Give It Up.mp4,RVTR960367,Give It Up,kc,93,84,100,B,no,
needs-review,Notorious B.I.G.,One More Chance,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Notorious B.I.G. - One More Chance.mp4,RVTR559145,One More Chance Stay With Me,The Notorious B.i.g,94,96,92,B,no,
needs-review,Yu Rock Mission,A Million Years,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Yu Rock Mission - A Million Years.mp4,RVTR708268,I'D Wait A Million Years,The Grass Roots,52,0,94,B,no,
needs-review,Tyler Hubbard,Dancin’ In The Country,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Tyler Hubbard - Dancin’ In The Country.mp4,RVTR122544,Dancin' In The Country,tyler hubbard,71,100,50,C,no,
needs-review,Manfred Mann,Ha Ha Said The Clown,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Manfred Mann - Ha Ha Said The Clown.mp4,RVTR675145,Ha Ha Said The Clown,The Yardbirds,55,0,100,B,no,
needs-review,Steelheart,I ll Never Let You Go,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Steelheart - I ll Never Let You Go.mp4,RVTR965795,Never Let You Go,third eye blind,53,0,97,C,no,
needs-review,Maroon 5,What Lovers Do Ft. Sza,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Maroon 5 feat. Sza - What Lovers Do.mp4,RVTR044252,What Lovers Do Feat Sza,maroon 5,77,100,60,C,no,
needs-review,Kane Brown,Cool Again  ft. Nelly,/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Kane Brown feat. Nelly - Cool Again.mp4,RVTR665316,Cool Again Feat Nelly,kane brown,77,100,60,C,no,
needs-review,Lisa Stansfield,You Can t Deny It,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Lisa Stansfield - You Can t Deny It.mp4,RVTR329779,You Can'T Deny It,lisa stansfield,71,100,50,C,no,
needs-review,Lonr.,Read My Mind  ft. Yung Bleu,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Lonr. feat. Yung Bleu - Read My Mind.mp4,RVTR970426,Read My Mind Feat Yung Bleu,Lonr.,81,100,67,C,no,
needs-review,Dionne Warwick,We Can Work It Out,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Dionne Warwick - We Can Work It Out.mp4,RVTR401373,We Can Work It Out,The Beatles,55,0,100,B,no,
needs-review,Iggy Azalea,Fancy ft. Charli XCX,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Iggy Azalea feat. Charli XCX - Fancy.mp4,RVTR284590,Fancy Feat Charli Xcx,iggy azalea,77,100,60,C,no,
needs-review,The Spotnicks,The Rocket Man,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/The Spotnicks - The Rocket Man.mp4n.mp4,RVTR601662,Rocket Man,elton john,53,0,96,B,no,
needs-review,KC & The Sunshine Band,Boogie Shoes,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/KC & The Sunshine Band - Boogie Shoes.mp4,RVTR273750,Boogie Shoes,kc and the sunshine band,90,75,100,B,no,
needs-review,ABBA (Mamma Mia),Super Trouper (2008),/Users/bobhopp/DJ MEDIA/VIDEO/1970's/ABBA (Mamma Mia) - Super Trouper (2008).mp4,RVTR119223,Super Trouper,abba,93,88,96,B,no,
needs-review,Nancy Sinatre,You Only Live Twice,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Nancy Sinatre - You Only Live Twice.mp4,RVTR168985,You Only Live Twice,drake,55,0,100,B,no,
needs-review,Prince & The New Power Generation,7,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Prince & The New Power Generation - 7.mp4,RVTR460595,679,fetty wap,48,0,88,B,no,
needs-review,Sly and The Family Stone,Thank You,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Sly and The Family Stone - Thank You.mp4,RVTR029043,Thank You Falettinme Be Mice Elf Agin Everybody Is A Star,sly,85,85,85,B,no,
needs-review,Luke Bryan,"Huntin’, Fishin’, And Lovin’ Every Day","/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Luke Bryan - Huntin’, Fishin’, And Lovin’ Every Day.mp4",RVTR156501,Huntin' Fishin' And Lovin' Every Day,luke bryan,61,100,33,C,no,
needs-review,Phil Collins,You Can`t Hurry Love,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Phil Collins - You Can`t Hurry Love.mp4,RVTR788479,You Can'T Hurry Love,phil collins,77,100,60,C,no,
needs-review,Kygo,Firestone Ft. Conrad Sewell,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Kygo feat. Conrad Sewell - Firestone.mp4,RVTR937305,Firestone Feat Conrad Sewell,kygo,77,100,60,C,no,
needs-review,Meat Loaf,Two Out Of Three Ain t Bad,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Meat Loaf - Two Out Of Three Ain t Bad.mp4,RVTR470259,Two Out Of Three Ain'T Bad,meat loaf,81,100,67,C,no,
needs-review,Little Mix,Confetti  ft. Saweetie,/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Little Mix feat. Saweetie - Confetti.mp4,RVTR604131,Confetti Feat Saweetie,little mix,71,100,50,C,no,
needs-review,Frankie Vaughan,There Must Be A Way,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Frankie Vaughan - There Must Be A Way.mp4,RVTR652206,There Must Be A Way,joni james,55,0,100,B,no,
needs-review,Phil Collins,Every Breath You Take,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/Phil Collins - Every Breath You Take.mp4,RVTR469359,Every Breath You Take,The Police,55,0,100,B,no,
needs-review,Naughty Boy,La La La Ft. Sam Smith,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Naughty Boy feat. Sam Smith - La La La.mp4,RVTR798949,La La La Feat Sam Smith,naughty boy,71,100,50,C,no,
needs-review,Lil Wayne,Uproar ft. Swizz Beatz,/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Lil Wayne feat. Swizz Beatz - Uproar.mp4,RVTR893035,Uproar Feat Swizz Beatz,lil' wayne,33,33,60,C,no,
needs-review,Herman s Hermits,I'm Henry VIII I Am,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Herman s Hermits - I'm Henry VIII I Am.mp4,RVTR162132,I'M Henry Viii I Am,herman's hermits,55,33,100,B,no,
needs-review,The Style Council,You’re The Best Thing,/Users/bobhopp/DJ MEDIA/VIDEO/1980's/The Style Council - You’re The Best Thing.mp4,RVTR535479,You'Re The Best Thing,The Style Council,77,100,60,C,no,
