fileArtist,fileTitle,filePath,currentRvtr,currentIdentitySource,currentGraphTitle,canonicalRvtr,canonicalIdentitySource,canonicalTitle,canonicalPeak,matchTier,combinedScore,conflictKind,reassignRecommended
Cream,Sunshine Of Your Love  (Farewell Concert),,RVTR172160,vdj,Sunshine Of Your Love Farewell Concert,RVTR823266,hot100,Sunshine Of Your Love,5,A,0,graph_or_exact,yes
"Crosby, Stills & Nash",Woodstock (Live),,RVTR875429,vdj,Woodstock Live,RVTR376269,hot100,Woodstock,11,A,0,graph_or_exact,yes
Cyndi Lauper,True Colors (Live),,RVTR838856,vdj,True Colors Live,RVTR994879,hot100_vdj,True Colors,1,A,0,file_base_title,yes
Cyndi Lauper,All Through the Night (Live),,RVTR742488,vdj,All Through The Night Live,RVTR368289,hot100,All Through The Night,5,A,0,graph_or_exact,yes
Cyndi Lauper,Money Changes Everything (Lyrics),,RVTR140169,vdj,Money Changes Everything Lyrics,RVTR366683,hot100_vdj,Money Changes Everything,27,A,0,graph_or_exact,yes
D Angelo,Brown Sugar,/Users/bobhopp/DJ MEDIA/VIDEO/1970's/D Angelo - Brown Sugar.mp4,RVTR414062,vdj,Brown Sugar,RVTR027013,hot100_vdj,Brown Sugar,27,B,100,graph_metadata,yes
Dan & Shay,"10,000 Hours","/Users/bobhopp/DJ MEDIA/VIDEO/COUNTRY/FILL/Dan & Shay - 10,000 Hours.mp4",RVTR040912,vdj,10 000 Hours,RVTR848359,hot100,10 000 Hours,4,A,100,graph_metadata,yes
Dave Clark Five,Glad All Over (Color),,RVTR455397,vdj,Glad All Over Color,RVTR378979,hot100,Glad All Over,6,A,0,file_base_title,yes
Dave Clark Five,Everybody Knows (Shindig),,RVTR782368,vdj,Everybody Knows Shindig,RVTR810701,hot100,Everybody Knows,43,A,0,graph_or_exact,yes
Dave Clark Five,Anyway You Want It (Shindig),,RVTR153992,vdj,Anyway You Want It Shindig,RVTR238107,hot100,Any Way You Want It,14,A,0,graph_or_exact,yes
David Bowie,Young Americans (1975),,RVTR255104,vdj,Young Americans 1975,RVTR032868,hot100,Young Americans,28,A,0,graph_or_exact,yes
DeFranco Family,"Heartbeat, Its A Lovebeat","/Users/bobhopp/DJ MEDIA/VIDEO/1970's/DeFranco Family - Heartbeat, Its A Lovebeat.mp4",RVTR793891,vdj,Heartbeat Its A Lovebeat,RVTR614730,hot100,Heartbeat It'S A Lovebeat,3,A,100,graph_metadata,yes
Depeche Mode,Personal Jesus (Mix),,RVTR129184,vdj,Personal Jesus Mix,RVTR718018,hot100_vdj,Personal Jesus,28,A,0,graph_or_exact,yes
Dire Straits,Skateaway (Live),,RVTR189173,vdj,Skateaway Live,RVTR575277,hot100_vdj,Skateaway,58,A,0,graph_or_exact,yes
Dire Straits,Money For Nothing (Live),,RVTR238498,vdj,Money For Nothing Live,RVTR990727,hot100_vdj,Money For Nothing,1,A,0,graph_or_exact,yes
Dire Straits,Sultans of Swing (Live Aid),,RVTR095530,vdj,Sultans Of Swing Live Aid,RVTR086340,hot100_vdj,Sultans Of Swing,4,A,0,graph_or_exact,yes
Donna Summer,Hot Stuff(Live),,RVTR305891,vdj,Hot Stuff Live,RVTR188932,hot100_vdj,Hot Stuff,1,A,0,graph_or_exact,yes
Donna Summer,I Feel Love (VJ's Edit),,RVTR431047,vdj,I Feel Love Vj'S Edit,RVTR677504,hot100_vdj,I Feel Love,6,A,0,graph_or_exact,yes
Donny Osmond,Puppy Love (TOTP),,RVTR134763,vdj,Puppy Love Totp,RVTR192128,hot100_vdj,Puppy Love,3,A,0,graph_or_exact,yes
Donovan,Catch The Wind (Live),,RVTR673480,vdj,Catch The Wind Live,RVTR399731,hot100_vdj,Catch The Wind,23,A,0,graph_or_exact,yes
Donovan,Sunshine Superman  (Live),,RVTR243203,vdj,Sunshine Superman Live,RVTR126301,hot100_vdj,Sunshine Superman,1,A,0,graph_or_exact,yes
Doors,Riders On The Storm (Mix),,RVTR917782,vdj,Riders On The Storm Mix,RVTR313371,hot100_vdj,Riders On The Storm,14,A,0,graph_or_exact,yes
Dr. John,Iko Iko (1995),,RVTR450297,vdj,Iko Iko 1995,RVTR862077,hot100,Iko Iko,71,A,0,graph_or_exact,yes
Drake,Over [Clean Version],,RVTR699868,vdj,Over Clean Version,RVTR665973,hot100_vdj,Over,14,A,0,graph_or_exact,yes
Drake,Headlines (CLEAN VERSION),,RVTR660001,vdj,Headlines Clean Version,RVTR078100,hot100,Headlines,13,A,0,graph_or_exact,yes
Dua Lipa,Dance The Night (From Barbie The Album),,RVTR660621,vdj,Dance The Night From Barbie The Album,RVTR615415,hot100,Dance The Night,6,A,0,graph_or_exact,yes
Dusty Springfield,I Only Want To Be With You (Rare),,RVTR735149,vdj,I Only Want To Be With You Rare,RVTR742416,hot100_vdj,I Only Want To Be With You,12,A,0,graph_or_exact,yes
Eagles,Hotel California (Live)(2010),,RVTR020583,vdj,Hotel California Live 2010,RVTR740340,hot100_vdj,Hotel California,1,A,0,graph_or_exact,yes
Electric Boys,All Lips N  Hips,/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Electric Boys - All Lips N  Hips.mp4,RVTR349283,vdj,All Lips N Hips,RVTR971812,hot100,All Lips N' Hips,76,A,100,graph_metadata,yes
Electric Light Orchestra,Telephone Line (Live),,RVTR738439,vdj,Telephone Line Live,RVTR613828,hot100_vdj,Telephone Line,7,A,0,graph_or_exact,yes
Electric Light Orchestra,Four Little Diamonds (Live),,RVTR268556,vdj,Four Little Diamonds Live,RVTR737128,hot100_vdj,Four Little Diamonds,86,A,0,graph_or_exact,yes
Elle King,Ex's & Oh's (2015),,RVTR677924,vdj,Ex'S Oh'S 2015,RVTR811146,hot100,Ex'S Oh'S,10,B,0,graph_or_exact,yes
Elton John,Goodbye Yellow Brick Road(Muppet Show 1977),,RVTR852528,vdj,Goodbye Yellow Brick Road Muppet Show 1977,RVTR483649,hot100_vdj,Goodbye Yellow Brick Road,2,A,0,graph_or_exact,yes
Elton John,Rocket Man (Red Piano Tour),,RVTR026244,vdj,Rocket Man Red Piano Tour,RVTR601662,hot100_vdj,Rocket Man,6,A,0,graph_or_exact,yes
Elton John,Bennie And The Jets (1980 Live),,RVTR173633,vdj,Bennie And The Jets 1980 Live,RVTR933650,hot100_vdj,Bennie And The Jets,1,A,0,graph_or_exact,yes
Elton John,Bennie and the Jets (Soul Train),,RVTR648898,vdj,Bennie And The Jets Soul Train,RVTR933650,hot100_vdj,Bennie And The Jets,1,A,0,graph_or_exact,yes
Elton John,Bennie and The Jets(Wembley 1984),,RVTR654958,vdj,Bennie And The Jets Wembley 1984,RVTR933650,hot100_vdj,Bennie And The Jets,1,A,0,graph_or_exact,yes
Elton John,Someone Saved My Life Tonight (1976),,RVTR684713,vdj,Someone Saved My Life Tonight 1976,RVTR716472,hot100_vdj,Someone Saved My Life Tonight,4,A,0,graph_or_exact,yes
Elton John,Don t Go Breaking My Heart (The Muppet Show),,RVTR892954,vdj,Don T Go Breaking My Heart The Muppet Show,RVTR289559,hot100,Don'T Go Breaking My Heart,1,A,0,graph_or_exact,yes
Elvin Bishop,Fooled Around And Fell In Love (Models),,RVTR620944,vdj,Fooled Around And Fell In Love Models,RVTR955805,hot100_vdj,Fooled Around And Fell In Love,3,A,0,graph_or_exact,yes
Elvis Presley,Trouble (Take1013),,RVTR693010,vdj,Trouble Take1013,RVTR134693,hot100,T R O U B L E,35,A,0,graph_or_exact,yes
Elvis Presley,Burning Love (Live),,RVTR018226,vdj,Burning Love Live,RVTR653496,hot100_vdj,Burning Love,2,A,0,graph_or_exact,yes
Elvis Presley,Suspicious Minds (Live),,RVTR053573,vdj,Suspicious Minds Live,RVTR864175,hot100_vdj,Suspicious Minds,1,A,0,graph_or_exact,yes
Elvis Presley,Can't Help Falling in Love (Blue Hawaii),,RVTR325319,vdj,Can'T Help Falling In Love Blue Hawaii,RVTR827394,hot100,Can'T Help Falling In Love,2,A,0,graph_or_exact,yes
Eric Church,Like Jesus Does (Lyric Video),,RVTR920509,vdj,Like Jesus Does Lyric Video,RVTR090753,hot100,Like Jesus Does,59,A,0,graph_or_exact,yes
Eric Clapton,Lay Down Sally (Live),,RVTR557145,vdj,Lay Down Sally Live,RVTR255081,hot100_vdj,Lay Down Sally,3,A,0,graph_or_exact,yes
Eric Clapton,I Shot The Sheriff (Live),,RVTR063953,vdj,I Shot The Sheriff Live,RVTR500826,hot100_vdj,I Shot The Sheriff,1,A,0,graph_or_exact,yes
Eric Clapton,I Shot The Sheriff (1985) HQ,,RVTR532286,vdj,I Shot The Sheriff 1985 Hq,RVTR500826,hot100_vdj,I Shot The Sheriff,1,C,0,graph_or_exact,yes
Fabolous,You Be Killin Em (Clean Version),,RVTR557815,vdj,You Be Killin Em Clean Version,RVTR476008,hot100,You Be Killin Em,63,A,0,graph_or_exact,yes
Fall Out Boy,"Sugar, We're Goin Down","/Users/bobhopp/DJ MEDIA/VIDEO/2010's/Fall Out Boy - Sugar, We're Goin Down.mp4",RVTR385005,vdj,Sugar We'Re Goin Down,RVTR952830,hot100,Sugar We'Re Goin' Down,8,A,100,graph_metadata,yes
Fergie,London Bridge (Oh Shit),,RVTR794075,vdj,London Bridge Oh Shit,RVTR981076,hot100_vdj,London Bridge,1,A,0,graph_or_exact,yes
Fleetwood Mac,Dreams (The Dance),,RVTR438126,vdj,Dreams The Dance,RVTR569927,hot100_vdj,Dreams,1,A,0,graph_or_exact,yes
Frank Sinatra,Theme from New York New York(Concert Collection),,RVTR091130,vdj,Theme From New York New York Concert Collection,RVTR386913,hot100,Theme From New York New York,32,A,0,graph_or_exact,yes
Frankie Goes to Hollywood,Relax (Festival),,RVTR211367,vdj,Relax Festival,RVTR758008,hot100_vdj,Relax,10,A,0,graph_or_exact,yes
Freda Payne,Band Of Gold (1970),,RVTR326942,vdj,Band Of Gold 1970,RVTR281567,hot100_vdj,Band Of Gold,3,A,0,graph_or_exact,yes
Gary Wright,Dream Weaver (MS),,RVTR198061,vdj,Dream Weaver Ms,RVTR893127,hot100_vdj,Dream Weaver,2,A,0,graph_or_exact,yes
Gary Wright,Love Is Alive (Live),,RVTR932513,vdj,Love Is Alive Live,RVTR923611,hot100_vdj,Love Is Alive,2,A,0,graph_or_exact,yes
GAYLE,Abcdefu (EXPLICIT),,RVTR359014,vdj,Abcdefu Explicit,RVTR372294,hot100,Abcdefu,3,A,0,graph_or_exact,yes
Genesis,Abacab (Live),,RVTR441162,vdj,Abacab Live,RVTR885648,hot100_vdj,Abacab,26,A,0,graph_or_exact,yes
Georgia Satellites,Battleship Chains (1986),,RVTR189801,vdj,Battleship Chains 1986,RVTR073496,hot100,Battleship Chains,86,A,0,graph_or_exact,yes
