trustScore,bucket,fileArtist,fileTitle,rvtr,graphArtist,graphTitle,identitySource,artistScore,titleScore,baseTitleScore,combinedScore,flags,filePath
84,medium,Animation,Vintage Banned Cartoons,RVTR794354,Animation,Vintage Banned Cartoons,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Animation - Vintage Banned Cartoons.mp4
84,medium,Big Band,Rhapsody in Blue,RVTR023620,Big Band,Rhapsody In Blue,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Big Band - Rhapsody in Blue.mp4
84,medium,Bill Haley,Lets Rip It Up,RVTR367218,Bill Haley,Lets Rip It Up,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Bill Haley - Lets Rip It Up.mp4
84,medium,Billie Davis,I Want You To Be My Baby,RVTR059373,Billie Davis,I Want You To Be My Baby,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Billie Davis - I Want You To Be My Baby.mp4
84,medium,Bo Diddley,Please Mr. Engineer,RVTR083367,bo diddley,Please Mr Engineer,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Bo Diddley - Please Mr. Engineer.mp4
84,medium,Buddy Holly,Not Fade Away and Peggy Sue,RVTR669766,buddy holly,Not Fade Away And Peggy Sue,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Buddy Holly - Not Fade Away and Peggy Sue.mp4
84,medium,Cab Calloway,Minnie the Moocher (Blue Brothers),RVTR380336,cab calloway,Minnie The Moocher Blue Brothers,vdj,100,100,92,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Cab Calloway - Minnie the Moocher (Blue Brothers).mp4
84,medium,Cab Calloway,St. James Infirmary Blues,RVTR160225,cab calloway,St James Infirmary Blues,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Cab Calloway - St. James Infirmary Blues.mp4
84,medium,Cab Calloway and the Nicholas Brothers,Jumpin Jive,RVTR475086,Cab Calloway and the Nicholas Brothers,Jumpin Jive,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Cab Calloway and the Nicholas Brothers - Jumpin Jive.mp4
84,medium,Carl Perkins,Blue Suede Shoes,RVTR955267,carl perkins,Blue Suede Shoes,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Carl Perkins - Blue Suede Shoes.mp4
84,medium,Carl Perkins,Glad All Over,RVTR531352,carl perkins,Glad All Over,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Carl Perkins - Glad All Over.mp4
84,medium,Chords,Sh-Boom,RVTR454830,Chords,Sh Boom,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Chords - Sh-Boom.mp4
84,medium,Chuck Berry,Memphis Tennessee,RVTR530800,chuck berry,Memphis Tennessee,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Chuck Berry - Memphis Tennessee.mp4
84,medium,Chuck Berry,School Days,RVTR096895,chuck berry,School Days,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Chuck Berry - School Days.mp4
84,medium,Chuck Berry,You Can't Catch Me,RVTR937487,chuck berry,You Can'T Catch Me,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Chuck Berry - You Can't Catch Me.mp4
84,medium,Dean Martin,That's Amore (1956),RVTR547052,dean martin,That'S Amore 1956,vdj,100,100,95,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Dean Martin - That's Amore (1956).mp4
84,medium,Don Gibson,"Oh, Lonesome Me",RVTR807774,don gibson,Oh Lonesome Me,vdj,100,100,100,100,,"/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Don Gibson - Oh, Lonesome Me.mp4"
84,medium,Duane Eddy,Rebel Rouser,RVTR893728,duane eddy,Rebel Rouser,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Duane Eddy - Rebel Rouser.mp4
84,medium,Eddie Cochran,Twenty Flight Rock,RVTR354870,eddie cochran,Twenty Flight Rock,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Eddie Cochran - Twenty Flight Rock.mp4
84,medium,Eddy Arnold,Cattle Call,RVTR628171,eddy arnold,Cattle Call,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Eddy Arnold - Cattle Call.mp4
84,medium,Elvis Presley,Jailhouse Rock,RVTR951694,elvis presley,Jailhouse Rock,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Elvis Presley - Jailhouse Rock.mp4
84,medium,Elvis Presley,Peace In The Valley,RVTR860741,elvis presley,Peace In The Valley,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Elvis Presley - Peace In The Valley.mp4
84,medium,Elvis Presley,That's All Right,RVTR650659,elvis presley,That'S All Right,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Elvis Presley - That's All Right.mp4
84,medium,Frank Sinatra,Come Fly With Me BW,RVTR231863,frank sinatra,Come Fly With Me Bw,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Frank Sinatra - Come Fly With Me BW.mp4
84,medium,Frank Sinatra,Come Fly With Me,RVTR639307,frank sinatra,Come Fly With Me,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Frank Sinatra - Come Fly With Me.mp4
84,medium,Frank Sinatra,Fly Me To The Moon,RVTR192681,frank sinatra,Fly Me To The Moon,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Frank Sinatra - Fly Me To The Moon.mp4
84,medium,Glenn Miller,At Last,RVTR292864,Glenn Miller,At Last,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Glenn Miller - At Last.mp4
84,medium,Glenn Miller,Chattanooga Choo Choo  (1941),RVTR290878,Glenn Miller,Chattanooga Choo Choo 1941,vdj,100,100,97,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Glenn Miller - Chattanooga Choo Choo (1941).mp4
84,medium,Glenn Miller,Chattanooga Choo Choo,RVTR759715,Glenn Miller,Chattanooga Choo Choo,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Glenn Miller - Chattanooga Choo Choo.mp4
84,medium,Glenn Miller,I've Got a Gal in Kalamazoo,RVTR154336,Glenn Miller,I'Ve Got A Gal In Kalamazoo,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Glenn Miller - I've Got a Gal in Kalamazoo.mp4
84,medium,Glenn Miller,In the Mood,RVTR027135,Glenn Miller,In The Mood,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Glenn Miller - In the Mood.mp4
84,medium,Hank Williams,Cold Cold Heart,RVTR292797,Hank Williams,Cold Cold Heart,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Hank Williams - Cold Cold Heart.mp4
84,medium,Hank Williams,Hey Good Lookin',RVTR680786,Hank Williams,Hey Good Lookin',vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Hank Williams - Hey Good Lookin'.mp4
84,medium,Harry Belafonte,Banna Boat Song (Beetlejuice),RVTR360656,Harry Belafonte,Banna Boat Song Beetlejuice,vdj,100,100,92,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Harry Belafonte - Banna Boat Song (Beetlejuice).mp4
84,medium,Harry McClintock,Big Rock Candy Mountain,RVTR150220,Harry McClintock,Big Rock Candy Mountain,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Harry McClintock - Big Rock Candy Mountain.mp4
84,medium,Henry Mancini,Baby Elephant Walk,RVTR212882,henry mancini,Baby Elephant Walk,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Henry Mancini - Baby Elephant Walk.mp4
84,medium,Henry Mancini,Pink Panther,RVTR026694,henry mancini,Pink Panther,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Henry Mancini - Pink Panther.mp4
84,medium,Howlin Wolf,Smokestack Lightning,RVTR396931,Howlin Wolf,Smokestack Lightning,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Howlin Wolf - Smokestack Lightning.mp4
84,medium,Huey Lewis and The News,Little Bitty Pretty One,RVTR945585,Huey Lewis and The News,Little Bitty Pretty One,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Huey Lewis and The News - Little Bitty Pretty One.mp4
84,medium,Louvin Brothers,I Don't Believe You've Met My Baby,RVTR443526,Louvin Brothers,I Don'T Believe You'Ve Met My Baby,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/I Don't Believe You've Met My Baby - Louvin Brothers.mp4
84,medium,Jeff Beck,Sleep Walk,RVTR926953,jeff beck,Sleep Walk,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Jeff Beck - Sleep Walk.mp4
84,medium,Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,RVTR469900,jerry lee lewis,Whole Lotta Shakin' Goin' On,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Jerry Lee Lewis - Whole Lotta Shakin' Goin' On.mp4
84,medium,Jerry Lee Lewis,Whole Lotta Shakin' Going On,RVTR100307,jerry lee lewis,Whole Lotta Shakin' Going On,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Jerry Lee Lewis - Whole Lotta Shakin' Going On (1957).mp4
84,medium,Jerry Lee Lewis,Whole Lotta Shakin' Going On,RVTR100307,jerry lee lewis,Whole Lotta Shakin' Going On,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Jerry Lee Lewis - Whole Lotta Shakin' Going On.mp4
84,medium,Johnny Cash,Five Feet Hgh and Rising,RVTR863574,johnny cash,Five Feet Hgh And Rising,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Johnny Cash - Five Feet Hgh and Rising.mp4
84,medium,Johnny Cash,I Walk the Line,RVTR164626,johnny cash,I Walk The Line,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Johnny Cash - I Walk the Line (Man in Black Live in Denmark).mp4
84,medium,Johnny Horton,Battle Of New Orleans,RVTR741337,johnny horton,Battle Of New Orleans,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Johnny Horton - Battle Of New Orleans.mp4
84,medium,Johnny Tremain,The Sons of Liberty,RVTR111739,Johnny Tremain,The Sons Of Liberty,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Johnny Tremain - The Sons of Liberty.mp4
84,medium,Judy Garland,Have Yourself A Merry Little Christmas,RVTR227670,Judy Garland,Have Yourself A Merry Little Christmas,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Judy Garland - Have Yourself A Merry Little Christmas.mp4
84,medium,Judy Garland And Gene Kelly,Ballin' The Jack,RVTR993640,Judy Garland And Gene Kelly,Ballin' The Jack,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Judy Garland And Gene Kelly - Ballin' The Jack.mp4
84,medium,Judy Garland and Johnny Mercer,Friendship,RVTR078488,Judy Garland and Johnny Mercer,Friendship,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Judy Garland and Johnny Mercer - Friendship.mp4
84,medium,Judy Garland and Johnny Mercer.,Taking A Chance On Love,RVTR248568,Judy Garland and Johnny Mercer.,Taking A Chance On Love,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Judy Garland and Johnny Mercer. - Taking A Chance On Love.mp4
84,medium,Jule Styne,Hellzapoppin,RVTR884649,Jule Styne,Hellzapoppin,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Jule Styne - Hellzapoppin.mp4
84,medium,Louis Armstrong,Cool Yule,RVTR647533,louis armstrong,Cool Yule,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Louis Armstrong - Cool Yule.mp4
84,medium,Louvin Brothers,I Don't Believe You've Met My Baby,RVTR443526,Louvin Brothers,I Don'T Believe You'Ve Met My Baby,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Louvin Brothers - I Don't Believe You've Met My Baby.mp4
84,medium,Mickey Mouse Club,Alma Mater,RVTR804587,Mickey Mouse Club,Alma Mater,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Mickey Mouse Club - Alma Mater.mp4
84,medium,Muddy Waters & The Rolling Stones,Baby Please Don't Go,RVTR745016,Muddy Waters & The Rolling Stones,Baby Please Don'T Go,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Muddy Waters & The Rolling Stones - Baby Please Don't Go.mp4
84,medium,Now You Has Jazz,"Bing Crosby, Louis Armstrong (1956)",RVTR976447,Now You Has Jazz,Bing Crosby Louis Armstrong 1956,vdj,100,100,97,100,,"/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Now You Has Jazz - Bing Crosby, Louis Armstrong (1956).mp4"
84,medium,Nowhere Boys,In Spite Of All The Danger,RVTR344079,Nowhere Boys,In Spite Of All The Danger,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Nowhere Boys - In Spite Of All The Danger.mp4
84,medium,Patti Page,Tennessee Waltz,RVTR580019,patti page,Tennessee Waltz,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Patti Page - Tennessee Waltz.mp4
84,medium,"Patti Page, Guy Mitchell",Detour,RVTR868228,"Patti Page, Guy Mitchell",Detour,vdj,100,100,100,100,,"/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Patti Page, Guy Mitchell - Detour.mp4"
84,medium,Percy Faith,A Summer Place,RVTR338256,Percy Faith,A Summer Place,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Percy Faith - A Summer Place.mp4
84,medium,Rockabilly,I'm So Tired,RVTR150235,Rockabilly,I'M So Tired,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Rockabilly - I'm So Tired.mp4
84,medium,Screamin Jay Hawkins,I Put A Spell On You,RVTR265892,Screamin Jay Hawkins,I Put A Spell On You,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Screamin Jay Hawkins - I Put A Spell On You.mp4
84,medium,Sister Rosetta Tharpe,Up Above My Head,RVTR082700,Sister Rosetta Tharpe,Up Above My Head,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Sister Rosetta Tharpe - Up Above My Head.mp4
84,medium,The Band,Willy And The Hand Jive,RVTR724139,The Band,Willy And The Hand Jive,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/The Band - Willy And The Hand Jive.mp4
84,medium,The Coasters,Down in Mexico,RVTR734755,The Coasters,Down In Mexico,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/The Coasters - Down in Mexico.mp4
84,medium,The Crew Cuts,Sh-Boom (Cry Baby),RVTR699342,The Crew Cuts,Sh Boom Cry Baby,vdj,100,100,90,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/The Crew Cuts - Sh-Boom (Cry Baby).mp4
84,medium,The Crew Cuts,ShBoom (Live),RVTR265360,The Crew Cuts,Shboom Live,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/The Crew Cuts - ShBoom (Live).mp4
84,medium,The Hullabaloos,I'm Gonna Love You Too,RVTR778315,The Hullabaloos,I'M Gonna Love You Too,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/The Hullabaloos - I'm Gonna Love You Too.mp4
84,medium,The Ross Sisters,Solid Potato Salad,RVTR202747,The Ross Sisters,Solid Potato Salad,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/The Ross Sisters - Solid Potato Salad.mp4
84,medium,Tommy Dorsey & His Orchestra,Well Git It,RVTR302915,Tommy Dorsey & His Orchestra,Well Git It,vdj,100,100,100,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1950's/Tommy Dorsey & His Orchestra - Well Git It.mp4
84,medium,Across The Universe,All My Loving  (2007),RVTR783228,Across The Universe,All My Loving 2007,vdj,100,100,95,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Across The Universe - All My Loving  (2007).mp4
84,medium,Across The Universe,Because  (2007),RVTR834540,Across The Universe,Because 2007,vdj,100,100,93,100,,/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Across The Universe - Because  (2007).mp4
