focus_rvtr,focus_title,focus_peak_position,focus_total_chart_weeks,focus_first_chart_date,focus_last_chart_date,neighbor_rvtr,neighbor_title,neighbor_artist,neighbor_peak_position,neighbor_total_chart_weeks,neighbor_first_chart_date,neighbor_last_chart_date,weeks_overlapping,avg_proximity,overlap_pct_of_neighbor,overlap_pct_of_focus,overlap_first_date,overlap_last_date,overlap_span_weeks,fate_label,playlist_score,relationship_summary
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR807140,You Take Me Up,thompson twins,44,9,1984-08-25,1984-10-20,1,1.000,11.1,4.3,1984-09-29,1984-09-29,1,passing_neighbor,0.00,brief adjacency; usually adjacent
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR404966,Bouncing Off The Wall,matthew wilder,52,9,1984-09-22,1984-11-17,1,2.000,11.1,4.3,1984-10-06,1984-10-06,1,passing_neighbor,0.00,brief adjacency
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR615289,Dynamite,jermaine jackson,15,17,1984-07-21,1984-11-10,1,2.000,5.9,4.3,1984-09-15,1984-09-15,1,passing_neighbor,0.00,brief adjacency
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR870229,Eyes Without A Face,billy idol,4,22,1984-05-05,1984-09-29,1,2.000,4.5,4.3,1984-06-23,1984-06-23,1,passing_neighbor,0.00,brief adjacency; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR461165,Formation,beyonce,10,7,2016-05-14,2016-06-25,1,2.000,14.3,4.3,2016-05-14,2016-05-14,1,passing_neighbor,0.00,brief adjacency; charted after focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR467863,Girls With Guns,tommy shaw,33,12,1984-09-29,1984-12-15,1,2.000,8.3,4.3,1984-10-06,1984-10-06,1,passing_neighbor,0.00,brief adjacency
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR088449,Hello,lionel richie,1,24,1984-02-25,1984-08-04,1,2.000,4.2,4.3,1984-06-16,1984-06-16,1,passing_neighbor,0.00,brief adjacency; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR678271,I Need You Tonight,peter wolf,36,13,1984-10-13,1985-01-05,1,2.000,7.7,4.3,1984-10-13,1984-10-13,1,passing_neighbor,0.00,brief adjacency
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR457559,Low Life,future,18,35,2016-02-27,2016-10-22,1,2.000,2.9,4.3,2016-05-07,2016-05-07,1,passing_neighbor,0.00,brief adjacency; charted after focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR578603,Oui,jeremih,19,27,2016-01-23,2016-07-23,1,2.000,3.7,4.3,2016-05-07,2016-05-07,1,passing_neighbor,0.00,brief adjacency; charted after focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR457133,Out Of Touch,daryl hall undefined john oates,1,23,1984-09-29,1985-03-02,1,2.000,4.3,4.3,1984-09-29,1984-09-29,1,passing_neighbor,0.00,brief adjacency
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR920094,Rock You Like A Hurricane,scorpions,25,16,1984-03-24,1984-07-07,1,2.000,6.3,4.3,1984-06-09,1984-06-09,1,passing_neighbor,0.00,brief adjacency; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR185775,Say Hello To Ronnie,janey street,68,5,1984-10-06,1984-11-03,1,2.000,20.0,4.3,1984-10-13,1984-10-13,1,passing_neighbor,0.00,brief adjacency
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR285305,Stay The Night,chicago,16,17,1984-05-05,1984-08-25,1,2.000,5.9,4.3,1984-06-16,1984-06-16,1,passing_neighbor,0.00,brief adjacency; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR731301,The Glamorous Life,sheila e,7,26,1984-06-16,1984-12-08,1,2.000,3.8,4.3,1984-09-08,1984-09-08,1,passing_neighbor,0.00,brief adjacency
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR136955,The Heart Of Rock & Roll,huey lewis,6,20,1984-04-21,1984-09-01,1,2.000,5.0,4.3,1984-06-23,1984-06-23,1,passing_neighbor,0.00,brief adjacency; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR104796,The Lucky One,laura branigan,20,15,1984-08-04,1984-11-10,1,2.000,6.7,4.3,1984-09-22,1984-09-22,1,passing_neighbor,0.00,brief adjacency
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR440365,The Reflex,duran duran,1,21,1984-04-21,1984-09-08,1,2.000,4.8,4.3,1984-06-30,1984-06-30,1,passing_neighbor,0.00,brief adjacency; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR493853,We're Not Gonna Take It,twisted sister,21,15,1984-07-28,1984-11-03,1,2.000,6.7,4.3,1984-09-22,1984-09-22,1,passing_neighbor,0.00,brief adjacency
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR436737,What About Me?,kenny rogers,15,19,1984-09-15,1985-01-19,1,2.000,5.3,4.3,1984-09-29,1984-09-29,1,passing_neighbor,0.00,brief adjacency
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR519584,When You Close Your Eyes,night ranger,14,17,1984-07-14,1984-11-03,1,2.000,5.9,4.3,1984-09-15,1984-09-15,1,passing_neighbor,0.00,brief adjacency
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR628742,White Horse,laid back,26,18,1984-02-25,1984-06-23,1,2.000,5.6,4.3,1984-06-02,1984-06-02,1,passing_neighbor,0.00,brief adjacency; charted before focus
RVTR593089,When Doves Cry,1,23,1984-06-02,2016-05-14,RVTR921019,Work,rihanna,1,36,2016-02-13,2016-10-15,1,2.000,2.8,4.3,2016-05-14,2016-05-14,1,passing_neighbor,0.00,brief adjacency; charted after focus
