rank,playlist_score,fate_label,weeks_overlapping,frequency,avg_proximity,min_proximity,max_proximity,overlap_pct_of_neighbor,overlap_pct_of_focus,overlap_first_date,overlap_last_date,neighbor_peak_position,neighbor_total_chart_weeks,neighbor_first_chart_date,neighbor_last_chart_date,neighbor_rvtr,neighbor_graph_track_id,neighbor_title,neighbor_artist
17,0.00,passing_neighbor,1,1,1.000,1,1,8.3,4.3,1977-05-14,1977-05-14,13,12,1977-03-19,1977-06-04,RVTR675407,13996,Can't Stop Dancin',captain
18,0.00,passing_neighbor,1,1,1.000,1,1,10.0,4.3,1977-04-30,1977-04-30,33,10,1977-03-19,1977-05-21,RVTR735193,22921,Cherry Baby,starz
19,0.00,passing_neighbor,1,1,1.000,1,1,5.0,4.3,2020-10-31,2020-10-31,2,20,2020-07-25,2020-12-05,RVTR684939,19745,Come & Go,juice wrld x marshmello
20,0.00,passing_neighbor,1,1,1.000,1,1,7.7,4.3,1977-05-07,1977-05-07,23,13,1977-03-12,1977-06-04,RVTR223531,4390,Dancin' Man,q
21,0.00,passing_neighbor,1,1,1.000,1,1,4.5,4.3,1977-07-09,1977-07-09,5,22,1977-04-23,1977-09-17,RVTR925777,6191,Do You Wanna Make Love,peter mccann
22,0.00,passing_neighbor,1,1,1.000,1,1,5.6,4.3,1977-07-23,1977-07-23,3,18,1977-07-09,1977-11-05,RVTR155161,2888,Don't Stop,fleetwood mac
23,0.00,passing_neighbor,1,1,1.000,1,1,4.5,4.3,1977-07-16,1977-07-16,4,22,1977-06-04,1977-10-29,RVTR080991,6102,Easy,commodores
24,0.00,passing_neighbor,1,1,1.000,1,1,2.3,4.3,2020-10-24,2020-10-24,6,43,2020-07-18,2021-05-08,RVTR289772,10566,For The Night,pop smoke
25,0.00,passing_neighbor,1,1,1.000,1,1,4.8,4.3,1977-05-07,1977-05-07,14,21,1977-03-12,1977-07-30,RVTR099737,32167,Heard It In A Love Song,The Marshall Tucker Band
26,0.00,passing_neighbor,1,1,1.000,1,1,3.2,4.3,1977-07-02,1977-07-02,1,31,1977-04-23,1977-11-19,RVTR091518,13115,I Just Want To Be Your Everything,andy gibb
27,0.00,passing_neighbor,1,1,1.000,1,1,9.1,4.3,1977-07-30,1977-07-30,47,11,1977-06-04,1977-08-13,RVTR388313,14118,If It's The Last Thing I Do,thelma houston
28,0.00,passing_neighbor,1,1,1.000,1,1,6.3,4.3,1977-07-16,1977-07-16,21,16,1977-05-07,1977-08-20,RVTR958565,6557,It's Sad To Belong,england dan
29,0.00,passing_neighbor,1,1,1.000,1,1,5.3,4.3,1977-07-02,1977-07-02,1,19,1977-05-07,1977-09-10,RVTR837568,17795,Looks Like We Made It,barry manilow
30,0.00,passing_neighbor,1,1,1.000,1,1,5.6,4.3,1977-04-23,1977-04-23,20,18,1977-04-02,1977-07-30,RVTR903443,2884,Love's Grown Deep,kenny nolan
31,0.00,passing_neighbor,1,1,1.000,1,1,11.1,4.3,1977-04-30,1977-04-30,37,9,1977-03-12,1977-05-07,RVTR517642,28866,Old Fashioned Boy (You're The One),stallion
32,0.00,passing_neighbor,1,1,1.000,1,1,3.8,4.3,2020-10-17,2020-10-17,17,26,2020-06-13,2020-12-05,RVTR840790,30711,One Of Them Girls,lee brice
33,0.00,passing_neighbor,1,1,1.000,1,1,16.7,4.3,1977-04-16,1977-04-16,69,6,1977-04-09,1977-05-14,RVTR351676,14786,Sound And Vision,david bowie
34,0.00,passing_neighbor,1,1,1.000,1,1,5.9,4.3,1977-07-30,1977-07-30,10,17,1977-07-09,1977-10-29,RVTR999069,25039,Star Wars (Main Title),london symphony orchestra
35,0.00,passing_neighbor,1,1,1.000,1,1,50.0,4.3,1977-08-20,1977-08-20,96,2,1977-08-20,1977-08-27,RVTR661406,24442,Turning To You,charlie
36,0.00,passing_neighbor,1,1,1.000,1,1,5.0,4.3,2020-11-07,2020-11-07,34,20,2020-11-07,2021-03-20,RVTR506672,21497,Tyler Herro,jack harlow
37,0.00,passing_neighbor,1,1,1.000,1,1,4.0,4.3,1977-04-16,1977-04-16,1,25,1977-04-02,1977-09-17,RVTR710977,24618,Undercover Angel,alan o'day
38,0.00,passing_neighbor,1,1,1.000,1,1,9.1,4.3,2020-11-07,2020-11-07,18,11,2020-10-17,2021-01-16,RVTR183772,27867,Wonder,shawn mendes
39,0.00,passing_neighbor,1,1,1.000,1,1,11.1,4.3,1977-04-23,1977-04-23,52,9,1977-03-19,1977-05-14,RVTR555690,10263,You Take My Heart Away,james darren
40,0.00,passing_neighbor,1,1,2.000,2,2,3.7,4.3,1977-07-09,1977-07-09,2,27,1977-05-07,1977-11-05,RVTR747880,26695,(Your Love Has Lifted Me) Higher And Higher,rita coolidge
41,0.00,passing_neighbor,1,1,2.000,2,2,2.0,4.3,2020-11-07,2020-11-07,6,50,2019-12-21,2020-11-28,RVTR489061,25341,Adore You,harry styles
42,0.00,passing_neighbor,1,1,2.000,2,2,5.6,4.3,1977-05-07,1977-05-07,12,18,1977-04-02,1977-07-30,RVTR058993,371,Ain't Gonna Bump No More (with No Big Fat Woman),joe tex
43,0.00,passing_neighbor,1,1,2.000,2,2,3.7,4.3,1977-07-02,1977-07-02,6,27,1977-02-19,1977-08-20,RVTR850631,4021,Angel In Your Arms,hot
44,0.00,passing_neighbor,1,1,2.000,2,2,7.1,4.3,1977-05-14,1977-05-14,16,14,1977-03-19,1977-06-18,RVTR554479,20491,Calling Dr. Love,kiss
45,0.00,passing_neighbor,1,1,2.000,2,2,5.0,4.3,1977-04-30,1977-04-30,11,20,1976-12-25,1977-05-07,RVTR738638,554,Carry On Wayward Son,kansas
46,0.00,passing_neighbor,1,1,2.000,2,2,10.0,4.3,1977-04-30,1977-04-30,34,10,1977-03-26,1977-05-28,RVTR477180,19958,Cinderella,firefall
47,0.00,passing_neighbor,1,1,2.000,2,2,33.3,4.3,2020-10-17,2020-10-17,19,3,2020-10-17,2020-10-31,RVTR467987,26128,Glock In My Lap,21 savage
48,0.00,passing_neighbor,1,1,2.000,2,2,4.0,4.3,2020-10-17,2020-10-17,16,25,2020-06-13,2020-11-28,RVTR316754,23911,Got What I Got,jason aldean
49,0.00,passing_neighbor,1,1,2.000,2,2,12.5,4.3,1977-04-16,1977-04-16,58,8,1977-04-09,1977-05-28,RVTR714637,25165,Hold Back The Night,graham parker and the rumour
50,0.00,passing_neighbor,1,1,2.000,2,2,4.0,4.3,2020-10-24,2020-10-24,3,25,2020-10-03,2021-03-20,RVTR597058,298,Holy,justin bieber
51,0.00,passing_neighbor,1,1,2.000,2,2,5.3,4.3,1977-05-21,1977-05-21,1,19,1977-02-26,1977-07-02,RVTR740340,23266,Hotel California,Eagles
52,0.00,passing_neighbor,1,1,2.000,2,2,5.3,4.3,1977-05-21,1977-05-21,1,19,1977-02-26,1977-07-02,,28249,Hotel California,Eagles
53,0.00,passing_neighbor,1,1,2.000,2,2,6.7,4.3,1977-07-23,1977-07-23,17,15,1977-07-09,1977-10-15,RVTR669346,9098,How Much Love,leo sayer
54,0.00,passing_neighbor,1,1,2.000,2,2,9.1,4.3,1977-08-13,1977-08-13,66,11,1977-07-30,1977-10-08,RVTR675776,15691,I Believe In Love,kenny loggins
55,0.00,passing_neighbor,1,1,2.000,2,2,7.1,4.3,1977-08-20,1977-08-20,41,14,1977-05-21,1977-08-20,RVTR265927,6417,I Don't Love You Anymore,teddy pendergrass
56,0.00,passing_neighbor,1,1,2.000,2,2,5.0,4.3,1977-07-09,1977-07-09,2,20,1977-05-28,1977-10-08,RVTR572359,13750,I'm In You,peter frampton
57,0.00,passing_neighbor,1,1,2.000,2,2,11.1,4.3,1977-07-30,1977-07-30,37,9,1977-07-09,1977-09-03,RVTR503308,9468,It's A Crazy World,mac mcanally
58,0.00,passing_neighbor,1,1,2.000,2,2,4.8,4.3,1977-08-13,1977-08-13,11,21,1977-08-13,1977-12-31,RVTR924921,17460,Just Remember I Love You,firefall
59,0.00,passing_neighbor,1,1,2.000,2,2,3.4,4.3,2020-10-24,2020-10-24,6,29,2020-08-29,2021-03-13,RVTR637112,17884,Lemonade,internet money
60,0.00,passing_neighbor,1,1,2.000,2,2,6.3,4.3,1977-08-06,1977-08-06,25,16,1977-05-07,1977-08-20,RVTR113494,21991,"Luckenbach, Texas (Back To The Basics Of Love)",waylon jennings
61,0.00,passing_neighbor,1,1,2.000,2,2,25.0,4.3,1977-08-20,1977-08-20,94,4,1977-08-13,1977-09-03,RVTR717813,5430,Make It With You,The Whispers
62,0.00,passing_neighbor,1,1,2.000,2,2,4.0,4.3,1977-08-06,1977-08-06,2,25,1977-07-23,1978-01-07,RVTR894622,5122,Nobody Does It Better,carly simon
63,0.00,passing_neighbor,1,1,2.000,2,2,12.5,4.3,1977-07-30,1977-07-30,41,8,1977-07-09,1977-08-27,RVTR579502,14689,Rock And Roll Never Forgets,bob seger
64,0.00,passing_neighbor,1,1,2.000,2,2,4.5,4.3,2020-10-31,2020-10-31,17,22,2020-07-18,2020-12-12,RVTR558279,19289,Said Sum,moneybagg yo
65,0.00,passing_neighbor,1,1,2.000,2,2,25.0,4.3,1977-04-23,1977-04-23,58,4,1977-04-02,1977-04-23,RVTR679070,16911,Sing,tony orlando
66,0.00,passing_neighbor,1,1,2.000,2,2,5.9,4.3,1977-06-04,1977-06-04,1,17,1977-04-02,1977-07-23,RVTR068754,22585,Sir Duke,stevie wonder
67,0.00,passing_neighbor,1,1,2.000,2,2,14.3,4.3,1977-04-23,1977-04-23,48,7,1977-04-02,1977-05-14,RVTR443772,9870,Sleepwalker,The Kinks
68,0.00,passing_neighbor,1,1,2.000,2,2,16.7,4.3,1977-04-16,1977-04-16,62,6,1977-04-02,1977-05-07,RVTR942013,4834,Sub-rosa Subway/calling Occupants,klaatu
69,0.00,passing_neighbor,1,1,2.000,2,2,10.0,4.3,1977-07-23,1977-07-23,30,10,1977-06-04,1977-08-06,RVTR123942,14037,The Killing Of Georgie (Part I And II),rod stewart
70,0.00,passing_neighbor,1,1,2.000,2,2,5.0,4.3,2020-11-07,2020-11-07,11,20,2020-07-18,2020-11-28,RVTR148995,19283,The Woo,pop smoke
71,0.00,passing_neighbor,1,1,2.000,2,2,5.0,4.3,1977-05-28,1977-05-28,1,20,1977-02-26,1977-07-09,RVTR536263,12044,When I Need You,leo sayer
72,0.00,passing_neighbor,1,1,2.000,2,2,6.7,4.3,1977-05-07,1977-05-07,22,15,1977-03-26,1977-07-02,RVTR025269,8504,Whodunit,tavares
73,0.00,passing_neighbor,1,1,2.000,2,2,4.5,4.3,1977-07-16,1977-07-16,18,22,1977-04-30,1977-09-24,RVTR042724,10305,You're My World,helen reddy
