rank,playlist_score,fate_label,weeks_overlapping,frequency,avg_proximity,min_proximity,max_proximity,overlap_pct_of_neighbor,overlap_pct_of_focus,overlap_first_date,overlap_last_date,neighbor_peak_position,neighbor_total_chart_weeks,neighbor_first_chart_date,neighbor_last_chart_date,neighbor_rvtr,neighbor_graph_track_id,neighbor_title,neighbor_artist
22,0.00,passing_neighbor,1,1,1.000,1,1,6.3,3.7,1978-05-13,1978-05-13,16,16,1978-02-11,1978-05-27,RVTR870702,3087,Flash Light,parliament
23,0.00,passing_neighbor,1,1,1.000,1,1,7.7,3.7,1978-01-07,1978-01-07,27,13,1977-11-05,1978-01-28,RVTR091853,11345,Gettin' Ready For Love,diana ross
24,0.00,passing_neighbor,1,1,1.000,1,1,7.1,3.7,1977-12-17,1977-12-17,23,14,1977-10-01,1977-12-31,RVTR297301,7303,Gone Too Far,england dan
25,0.00,passing_neighbor,1,1,1.000,1,1,4.2,3.7,1977-12-10,1977-12-10,1,24,1974-08-17,1977-12-31,RVTR782544,5740,I Honestly Love You,olivia newton-john
26,0.00,passing_neighbor,1,1,1.000,1,1,5.9,3.7,1978-04-29,1978-04-29,7,17,1978-03-04,1978-06-24,RVTR835131,25993,Imaginary Lover,atlanta rhythm section
27,0.00,passing_neighbor,1,1,1.000,1,1,4.8,3.7,1978-05-06,1978-05-06,3,21,1978-03-25,1978-08-12,RVTR377049,25250,It's A Heartache,bonnie tyler
28,0.00,passing_neighbor,1,1,1.000,1,1,20.0,3.7,1978-06-10,1978-06-10,74,5,1978-05-13,1978-06-10,RVTR011909,29943,It's Late,queen
29,0.00,passing_neighbor,1,1,1.000,1,1,5.6,3.7,1978-06-03,1978-06-03,6,18,1978-06-03,1978-09-30,RVTR141252,20278,Love Will Find A Way,pablo cruise
30,0.00,passing_neighbor,1,1,1.000,1,1,6.7,3.7,1978-01-14,1978-01-14,13,15,1977-11-19,1978-02-25,RVTR782159,24744,Turn To Stone,electric light orchestra
31,0.00,passing_neighbor,1,1,1.000,1,1,5.3,3.7,1977-12-17,1977-12-17,12,19,1977-09-03,1978-01-07,RVTR061347,26669,We Just Disagree,dave mason
32,0.00,passing_neighbor,1,1,1.000,1,1,8.3,3.7,1978-06-03,1978-06-03,39,12,1978-06-03,1978-08-19,RVTR083618,22468,Will You Still Love Me Tomorrow,dave mason
33,0.00,passing_neighbor,1,1,1.000,1,1,4.5,3.7,1978-01-28,1978-01-28,4,22,1977-10-29,1978-03-25,RVTR906006,22109,You're In My Heart (The Final Acclaim),rod stewart
34,0.00,passing_neighbor,1,1,2.000,2,2,5.3,3.7,1978-01-21,1978-01-21,4,19,1977-10-15,1978-02-18,RVTR327343,17170,(Every Time I Turn Around) Back In Love Again,ltd
35,0.00,passing_neighbor,1,1,2.000,2,2,6.7,3.7,1978-06-03,1978-06-03,29,15,1978-05-27,1978-09-02,RVTR169749,6087,Can We Still Be Friends,todd rundgren
36,0.00,passing_neighbor,1,1,2.000,2,2,5.0,3.7,1978-06-10,1978-06-10,6,20,1978-01-28,1978-06-10,RVTR306460,17661,Dust In The Wind,kansas
37,0.00,passing_neighbor,1,1,2.000,2,2,6.7,3.7,1978-06-10,1978-06-10,32,15,1978-03-04,1978-06-10,RVTR195279,16275,Fantasy,"earth, wind"
38,0.00,passing_neighbor,1,1,2.000,2,2,4.0,3.7,1978-04-29,1978-04-29,4,25,1978-02-11,1978-07-29,RVTR510772,10372,Feels So Good,chuck mangione
39,0.00,passing_neighbor,1,1,2.000,2,2,4.2,3.7,1978-04-22,1978-04-22,15,24,1977-12-17,1978-05-27,RVTR845078,20297,Goodbye Girl,david gates
40,0.00,passing_neighbor,1,1,2.000,2,2,4.5,3.7,1978-05-27,1978-05-27,1,22,1978-05-27,1978-10-21,RVTR613011,8057,Grease,frankie valli
41,0.00,passing_neighbor,1,1,2.000,2,2,2.5,3.7,1978-03-11,1978-03-11,7,40,1977-08-27,1978-05-27,RVTR917651,31738,I Go Crazy,paul davis
42,0.00,passing_neighbor,1,1,2.000,2,2,8.3,3.7,1977-12-10,1977-12-10,30,12,1977-12-10,1978-02-25,RVTR364381,27711,Lovely Day,bill
43,0.00,passing_neighbor,1,1,2.000,2,2,5.9,3.7,1978-06-03,1978-06-03,13,17,1978-06-03,1978-09-23,RVTR882251,24156,My Angel Baby,toby beau
44,0.00,passing_neighbor,1,1,2.000,2,2,4.0,3.7,1977-12-17,1977-12-17,2,25,1977-07-23,1978-01-07,RVTR894622,5122,Nobody Does It Better,carly simon
45,0.00,passing_neighbor,1,1,2.000,2,2,7.1,3.7,1978-01-07,1978-01-07,28,14,1977-11-12,1978-02-11,RVTR961732,12242,Point Of Know Return,kansas
46,0.00,passing_neighbor,1,1,2.000,2,2,20.0,3.7,1977-12-10,1977-12-10,63,5,1977-11-12,1977-12-10,RVTR788521,29786,Sad Eyes,brooklyn dreams
47,0.00,passing_neighbor,1,1,2.000,2,2,5.6,3.7,1978-01-14,1978-01-14,13,18,1977-10-29,1978-02-25,RVTR818554,2134,Serpentine Fire,"earth, wind"
48,0.00,passing_neighbor,1,1,2.000,2,2,5.0,3.7,1978-01-28,1978-01-28,5,20,1977-10-15,1978-02-25,RVTR910888,9609,Slip Slidin' Away,paul simon
49,0.00,passing_neighbor,1,1,2.000,2,2,20.0,3.7,1978-05-27,1978-05-27,63,5,1978-05-20,1978-06-17,RVTR077451,20944,Take Me Back To Chicago,chicago
50,0.00,passing_neighbor,1,1,2.000,2,2,2.4,3.7,1978-01-21,1978-01-21,4,41,1977-10-22,1992-10-10,RVTR952100,21947,We Are The Champions,queen
51,0.00,passing_neighbor,1,1,2.000,2,2,8.3,3.7,1978-05-06,1978-05-06,21,12,1978-03-25,1978-06-10,RVTR150200,17563,Werewolves Of London,warren zevon
52,0.00,passing_neighbor,1,1,2.000,2,2,5.6,3.7,1978-05-13,1978-05-13,6,18,1978-04-15,1978-08-12,RVTR334869,27449,You Belong To Me,carly simon
53,0.00,passing_neighbor,1,1,2.000,2,2,6.3,3.7,1978-05-20,1978-05-20,18,16,1978-04-15,1978-07-29,RVTR947364,26777,You're The Love,seals
54,0.00,passing_neighbor,1,1,2.000,2,2,4.2,3.7,1978-04-22,1978-04-22,1,24,1978-04-01,1978-09-09,RVTR646417,3288,You're The One That I Want,john travolta
