chart_date,focus_position,neighbor_position,proximity,neighbor_key,neighbor_title,neighbor_artist
1978-05-13,28,26,2,RVTR334869,You Belong To Me,carly simon
1978-05-13,28,27,1,RVTR870702,Flash Light,parliament
1978-05-13,28,29,1,RVTR832774,Our Love,natalie cole
1978-05-13,28,30,2,RVTR672479,Running On Empty,jackson browne
1978-05-20,40,38,2,RVTR816913,Do You Believe In Magic,shaun cassidy
1978-05-20,40,39,1,RVTR067527,Ego,elton john
1978-05-20,40,41,1,RVTR947621,Bluer Than Blue,michael johnson
1978-05-20,40,42,2,RVTR947364,You're The Love,seals
1978-05-27,71,69,2,RVTR613011,Grease,frankie valli
1978-05-27,71,70,1,RVTR816913,Do You Believe In Magic,shaun cassidy
1978-05-27,71,72,1,RVTR669950,Darlin',paul davis
1978-05-27,71,73,2,RVTR077451,Take Me Back To Chicago,chicago
1978-06-03,71,69,2,RVTR882251,My Angel Baby,toby beau
1978-06-03,71,70,1,RVTR141252,Love Will Find A Way,pablo cruise
1978-06-03,71,72,1,RVTR083618,Will You Still Love Me Tomorrow,dave mason
1978-06-03,71,73,2,RVTR169749,Can We Still Be Friends,todd rundgren
1978-06-10,98,96,2,RVTR306460,Dust In The Wind,kansas
1978-06-10,98,97,1,RVTR255081,Lay Down Sally,eric clapton
1978-06-10,98,99,1,RVTR011909,It's Late,queen
1978-06-10,98,100,2,RVTR195279,Fantasy,"earth, wind"
