rvtr,artist,title,playCount,reason,approvedFacts,approvedStories,candidateFacts,candidateStories,researchSources,canBuildCardsReason
RVTR447965,Aaliyah,Are You That Somebody,3,ready_for_card_assembly,12,6,14,6,7,
RVTR870229,Billy Idol,Eyes Without A Face,3,ready_for_card_assembly,15,7,15,7,7,
RVTR012820,Austin Williams,90s Rap Mashup,3,ready_for_card_assembly,8,4,8,4,4,
RVTR306382,AC/DC,It's a Long Way to the Top,3,ready_for_card_assembly,21,7,21,7,4,
RVTR889877,Black Crowes,She Talks To Angels,3,ready_for_card_assembly,5,4,5,4,7,
RVTR810086,Black Oak Arkansas,Jim Dandy,3,ready_for_card_assembly,7,4,7,4,5,
RVTR990821,"Blood, Sweat & Tears",And When I Die,3,ready_for_card_assembly,12,6,12,6,4,
RVTR423250,Beastie Boys,Fight For Your Right,3,ready_for_card_assembly,20,8,20,8,7,
RVTR643804,Amy Winehouse,You Know I'm No Good,3,ready_for_card_assembly,15,6,15,6,6,
RVTR191135,Billy Joel,We Didn't Start The Fire,3,ready_for_card_assembly,17,8,17,8,7,
RVTR511399,A Taste Of Honey,Boogie Oogie Oogie,3,ready_for_card_assembly,15,7,15,7,6,
RVTR259969,Blu Cantrell,Hit 'Em Up Style (Oops!),3,ready_for_card_assembly,12,5,12,5,6,
RVTR747187,Belinda Carlisle,Heaven Is A Place On Earth,3,ready_for_card_assembly,17,7,17,7,7,
RVTR407803,Big Head Todd and the Monsters,Bittersweet,3,ready_for_card_assembly,8,5,9,5,2,
RVTR809033,311,Love Song,2,ready_for_card_assembly,12,6,12,6,6,
RVTR837347,AC/DC,Ride On,2,ready_for_card_assembly,11,6,11,6,7,
RVTR350555,Blondie,Call Me ,2,ready_for_card_assembly,6,5,6,5,7,
RVTR358909,112,Dance With Me,2,ready_for_card_assembly,9,5,9,5,6,
RVTR799567,Bananarama,Venus,2,ready_for_card_assembly,14,8,14,8,7,
RVTR519576,B.T. Express,Do It,2,ready_for_card_assembly,18,6,18,6,6,
RVTR712412,Amy Grant,Baby Baby,2,ready_for_card_assembly,14,8,14,8,7,
RVTR067905,AC/DC,Touch Too Much,2,ready_for_card_assembly,14,9,14,9,7,
RVTR582041,50 Cent,Just A Lil Bit,2,ready_for_card_assembly,11,7,11,7,7,
RVTR568215,Billy Swan,I Can Help,2,ready_for_card_assembly,15,6,15,6,6,
RVTR877036,Animotion,Obsession,2,ready_for_card_assembly,10,5,10,5,5,
RVTR063777,Baltimora,Tarzan Boy,2,ready_for_card_assembly,10,6,10,6,5,
RVTR574313,Amy Winehouse,Valerie,2,ready_for_card_assembly,16,7,16,7,4,
RVTR039625,AC/DC,Girls Got Rhythm,2,ready_for_card_assembly,15,8,15,8,7,
RVTR336525,Bad Company,Bad Company,2,ready_for_card_assembly,12,4,12,4,5,
RVTR677358,Blackfoot,Highway Song,2,ready_for_card_assembly,14,6,14,6,7,
RVTR319680,Akon & Eminem,Smack That,2,ready_for_card_assembly,10,4,10,4,3,
RVTR702357,ABBA,The Name Of The Game,2,ready_for_card_assembly,17,6,17,6,6,
RVTR830897,Alice Cooper,I Never Cry,2,ready_for_card_assembly,15,7,15,7,7,
RVTR853792,Aerosmith,Walk This Way,2,ready_for_card_assembly,13,8,13,8,7,
RVTR070984,America,Ventura Highway,2,ready_for_card_assembly,11,9,11,9,7,
RVTR501867,Argent,Hold Your Head Up,2,ready_for_card_assembly,15,9,15,9,7,
RVTR798342,Billy Squier,The Stroke,2,ready_for_card_assembly,15,6,15,6,7,
RVTR860339,Badfinger,Come And Get It,2,ready_for_card_assembly,9,7,9,7,7,
RVTR855059,Asia,Only Time Will Tell,2,ready_for_card_assembly,12,7,12,7,7,
RVTR732192,Adele,Set Fire To The Rain,2,ready_for_card_assembly,12,7,12,7,7,
RVTR615154,Blues Traveler,Run Around,2,ready_for_card_assembly,11,8,11,8,7,
RVTR978976,Amii Stewart,Knock On Wood,2,ready_for_card_assembly,7,5,7,5,7,
RVTR124790,Alan Jackson,Mercury Blues,2,ready_for_card_assembly,13,8,13,8,7,
RVTR731355,Amy Winehouse,Back To Black,2,ready_for_card_assembly,19,8,19,8,7,
RVTR972499,Aerosmith,Livin' On The Edge,2,ready_for_card_assembly,14,8,14,8,7,
RVTR376773,Autograph,Turn Up The Radio,2,ready_for_card_assembly,13,6,13,6,6,
RVTR898376,Bette Midler,Beast Of Burden,2,ready_for_card_assembly,12,4,12,4,7,
RVTR058142,Billy Strings,Dust In A Baggie,2,ready_for_card_assembly,6,5,6,5,3,
RVTR502183,Beyonce F.Slim Thug,Check On It,2,ready_for_card_assembly,5,1,5,1,3,
RVTR483118,Bill Withers,Ain t No Sunshine,2,ready_for_card_assembly,14,5,14,5,4,
RVTR040762,Billy Joel,Just the Way You Are,2,ready_for_card_assembly,15,7,15,7,7,
RVTR849190,Behind Closed Doors,Charlie Rich,2,ready_for_card_assembly,17,4,17,4,4,
RVTR422999,Alica Bridges,Love The Nightlife,2,ready_for_card_assembly,7,2,7,2,2,
RVTR443450,Backstreet Boys,I Want It That Way,2,ready_for_card_assembly,15,9,15,9,7,
RVTR886851,Billy Idol & Miley Cyrus,Rebel Yell,2,ready_for_card_assembly,20,6,20,6,4,
RVTR717336,Alan Parsons Project,Eye In The Sky,2,ready_for_card_assembly,12,7,12,7,7,
RVTR959701,Aretha Franklin,Say A Little Prayer,2,ready_for_card_assembly,20,4,20,4,4,
RVTR248828,Aerosmith,I Don't Want To Miss A Thing,2,ready_for_card_assembly,10,5,10,5,6,
RVTR215786,Anthrax & Public Enemy,Bring The Noise,2,ready_for_card_assembly,15,5,15,5,3,
RVTR900707,Alan Parsons Project,Games People Play,2,ready_for_card_assembly,9,6,9,6,7,
RVTR418285,Aerosmith,Remember (Walking In The Sand),2,ready_for_card_assembly,18,8,18,8,7,
RVTR933068,Andrews Sisters,Boogie Woogie Bugle Boy,2,ready_for_card_assembly,11,4,11,4,4,
RVTR311886,Bo Diddley,A Celebration of Blues and Soul,2,ready_for_card_assembly,11,4,11,4,4,
RVTR853965,"Alan Jackson, Jimmy Buffett",It's Five O' Clock Somewhere,1,ready_for_card_assembly,6,4,6,4,4,
RVTR207948,Beck,Where It's At,1,ready_for_card_assembly,14,6,14,6,6,
RVTR734691,"Ashley McBryde, Caylee Hammack, Pillbox Patti",Brenda Put Your Bra On,1,ready_for_card_assembly,15,5,15,5,4,
RVTR297738,Blur,Song 2,1,ready_for_card_assembly,21,7,21,7,6,
RVTR263220,AJR,I'm Ready,1,ready_for_card_assembly,15,5,15,5,6,
RVTR246789,ABBA,One Of Us,1,ready_for_card_assembly,17,7,17,7,7,
RVTR548404,Blondie,Maria,1,ready_for_card_assembly,7,5,7,5,7,
RVTR826540,Asia,Don't Cry,1,ready_for_card_assembly,9,5,9,5,7,
RVTR225848,Akon,Beautiful,1,ready_for_card_assembly,12,7,12,7,7,
RVTR148875,Aerosmith,Angel,1,ready_for_card_assembly,17,7,17,7,7,
RVTR201002,Black Caviar,Coco,1,ready_for_card_assembly,13,6,13,6,4,
RVTR990386,Aerosmith,Cryin',1,ready_for_card_assembly,16,9,16,9,7,
RVTR680424,AC/DC,Hells Bells,1,ready_for_card_assembly,10,6,10,6,6,
RVTR441860,50 Cent,Candy Shop,1,ready_for_card_assembly,12,5,12,5,7,
RVTR698271,AC/DC,Dirty Deeds,1,ready_for_card_assembly,21,6,21,6,4,
RVTR706899,Batman,The Batusi,1,ready_for_card_assembly,20,6,20,6,4,
RVTR044417,Bel Biv Devoe,Do Me,1,ready_for_card_assembly,12,7,12,7,3,
RVTR633569,Blondie,X Offender,1,ready_for_card_assembly,17,3,17,3,4,
RVTR303543,Avicii,Hey Brother,1,ready_for_card_assembly,11,5,11,5,7,
RVTR599738,Belly,Feed The Tree,1,ready_for_card_assembly,11,7,11,7,7,
RVTR572622,Babys,Isn't It Time,1,ready_for_card_assembly,9,7,9,7,7,
RVTR298583,ABC,The Look Of Love,1,ready_for_card_assembly,15,6,15,6,6,
RVTR285384,Barry Manilow,Mandy,1,ready_for_card_assembly,16,7,16,7,7,
RVTR683170,Beyonce,Naughty Girl,1,ready_for_card_assembly,13,8,13,8,7,
RVTR038181,Billy Ocean,Loverboy,1,ready_for_card_assembly,16,6,16,6,7,
RVTR491253,Beastie Boys,Sabotage,1,ready_for_card_assembly,19,7,19,7,7,
RVTR886264,AC/DC,Shoot To Thrill,1,ready_for_card_assembly,17,8,17,8,7,
RVTR660435,Blackfoot,Train Train,1,ready_for_card_assembly,12,7,12,7,7,
RVTR596348,Bell Biv DeVoe,Gangsta,1,ready_for_card_assembly,10,6,10,6,5,
RVTR985816,Alan Jackson,Good Time,1,ready_for_card_assembly,10,7,10,7,7,
RVTR628388,AJR,Let The Games Begin,1,ready_for_card_assembly,14,6,14,6,4,
RVTR867164,AC/DC,Let There Be Rock,1,ready_for_card_assembly,8,5,8,5,6,
