File path,Artist,Title,Suggested RVTR,Confidence,Reason for review
/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/U2 - Walk On.mp4,U2,Walk On,RVTR671457,90,Candidate confidence 90%
"/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Pete Rock & CL Smooth - They Reminisce Over You (Official Video, T.R.O.Y.).mp4",Pete Rock & CL Smooth,Pete Rock & CL Smooth - They Reminisce Over You (T.R.O.Y.) (Official Video),RVTR112602,83,Candidate confidence 83%
/Users/bobhopp/DJ MEDIA/VIDEO/1980's/EU - Da Butt.mp4,EU,Da Butt,RVTR460413,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Modjo - Lady.mp4,Modjo,Lady,RVTR506219,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/TOOL - Enema.mp4,Tool,Enema,RVTR542871,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Flex - Cupid.mp4,Flex,Cupid,RVTR385522,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Pink - Sober.mp4,Pink,Sober,RVTR789860,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Tool - Sober.mp4,Tool,Sober,RVTR637814,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Blur - Song 2.mp4,Blur,Song 2,RVTR297738,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Carrie Underwood & Joan Jett - Various Joan Jett Songs CMA Collaboration.mp4,Carrie Underwood & Joan Jett,Various Joan Jett Songs CMA Collaboration,RVTR284563,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Beck - Nausea.mp4,Beck,Nausea,RVTR939105,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Dusic - Brick.mp4,Dusic,Brick,RVTR639322,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Shakira - One.mp4,Shakira,One,RVTR609622,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/2020's/Shy Carter feat. Cole Swindell and David Lee Murphy - Beer With My Friends.mp4,Shy Carter feat. Cole Swindell and David Lee Murphy,Beer With My Friends,RVTR283607,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Mew - Special.mp4,Mew,Special,RVTR204740,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/2000's/Shaggy - Hope.mp4,Shaggy,Hope,RVTR849979,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/2020's/KSI - Holiday.mp4,KSI,Holiday,RVTR434005,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/1970's/Sina - Mother.mp4,Sina,Mother,RVTR659861,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/1990's/Hole - Violet.mp4,Hole,Violet,RVTR366472,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/Tosca - Honey.mp4,Tosca,Honey,RVTR581462,90,Candidate confidence 90%
/Users/bobhopp/DJ MEDIA/VIDEO/TECHNO/iiO - Rapture.mp4,iiO,Rapture,RVTR092059,90,Candidate confidence 90%
