FilePath,Artist,Title,Year,RVTags
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Kenny Rankin - Oh So Peaceful Here.mp4,Kenny Rankin,Oh So Peaceful Here,1967,#DeepCut #SingAlong #SlowDance
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Kenny Rogers & The First Edition - Just Dropped In.mp4,Kenny Rogers & The First Edition,Just Dropped In,1967,#Psychedelic #OneHitWonder #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/King Curtis - Memphis Soul Stew.mp4,King Curtis,Memphis Soul Stew,1967,#Soul #DanceFloor #DeepCut
"/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Leonard Cohen - So Long, Marianne.mp4",Leonard Cohen,"So Long, Marianne",1967,#DeepCut #SlowDance
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Los Bravos - Black Is Black.mp4,Los Bravos,Black Is Black,1967,#OneHitWonder #DanceFloor #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Louis Armstrong - What A Wonderful World.mp4,Louis Armstrong,What A Wonderful World .,1967,#CrowdFavorite #SingAlong #SlowDance
/Volumes/DJ  MAIN/DJ MEDIA/VIDEO/1960's/5-Lulu - Loves Loves To Love Love - Top Of The Pops (1967).mp4,Lulu,Loves Loves To Love Love,1967,#BritishInvasion #CrowdFavorite #TVFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Lulu - Loves Loves To Love Love.mp4,Lulu,Loves Loves To Love Love,1967,#BritishInvasion #CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Manfred Mann - Mighty Quinn.mp4,Manfred Mann,Mighty Quinn,1967,#BritishInvasion #CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Monkees - I'm A Believer.mp4,Monkees,I'm A Believer,1967,#CrowdFavorite #SingAlong #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Moody Blues - Nights in White Satin.mp4,Moody Blues,Nights in White Satin,1967,#BritishInvasion #SlowDance #SingAlong #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Nancy Sinatra - Some Velvet Morning.mp4,Nancy Sinatra,Some Velvet Morning,1967,#Psychedelic #DeepCut #SlowDance
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Nancy Sinatra - Sugar Town.mp4,Nancy Sinatra,Sugar Town,1967,#CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Nancy Sinatra - These Boots Are Made For Walking.mp4,Nancy Sinatra,These Boots Are Made For Walking,1967,#CrowdFavorite #PartyStarter #DanceFloor
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Nancy Sinatra & Lee Hazlewood - Summer Wine.mp4,Nancy Sinatra & Lee Hazlewood,Summer Wine,1967,#SlowDance #SingAlong #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Nancy Wilson - For Once in My Life.mp4,Nancy Wilson,For Once in My Life,1967,#Soul #SlowDance #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Neil Diamond - You Got To Me (American Bandstand).mp4,Neil Diamond,You Got To Me (American Bandstand),1967,#CrowdFavorite #TVFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Osborne Brothers - Rocky Top (1967).mp4,Osborne Brothers,Rocky Top (1967),1967,#DeepCut #PartyStarter
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Otis Redding - I've Been Loving You Too Long.mp4,Otis Redding,I've Been Loving You Too Long,1967,#Soul #SlowDance #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Percy Sledge - When A Man Loves A Woman.mp4,Percy Sledge,When A Man Loves A Woman,1967,#Soul #SlowDance #CrowdFavorite #SingAlong
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Peter And Gordon - Lady Godiva.mp4,Peter And Gordon,Lady Godiva,1967,#BritishInvasion #Novelty #OneHitWonder
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Pink Floyd - See Emily Play.mp4,Pink Floyd,See Emily Play,1967,#BritishInvasion #Psychedelic #CrowdFavorite
/Users/bobhopp/DJ MEDIA/VIDEO/1960's/Procol Harum - A Whiter Shade Of Pale.mp4,Procol Harum,A Whiter Shade Of Pale,1967,#BritishInvasion #Psychedelic #CrowdFavorite #SlowDance
